"","DBN","school_name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","exams_per_student","high_score_percent","avg_class_size","frl_percent","total_enrollment","ell_percent","sped_percent","selfcontained_num","asian_per","black_per","hispanic_per","white_per","male_per","female_per","Total Cohort","grads_percent","dropout_percent","boro","lat","long","bn","schoolname","responder","score","response_type","question"
"3399","02M459","MANHATTAN INTERNATIONAL HIGH SCHOOL",49,376,460,391,1227,12,12,6,1,50,20,80.7,325,77.5,0.3,0,33.5,14.8,36.9,14.5,44.3,55.7,69,55.1,7.2,"Manhattan",40.7654454020005,-73.9602137859997,"M459","Manhattan International High School","aca_t_11",34,"teacher","acad. expectations"
"3400","02M460","WASHINGTON IRVING HIGH SCHOOL",151,373,387,360,1120,69,83,21,1.20289855072464,25.3012048192771,24,66,1032,18.6,17.2,80,4.8,34.3,58.2,2.3,47.5,52.5,443,51.9,26.6,NA,NA,NA,"M460","Washington Irving High School","aca_t_11",31,"teacher","acad. expectations"
"3401","02M473","WASHINGTON IRVING YABC",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M473","Washington Irving Yabc","aca_t_11",44,"teacher","acad. expectations"
"3402","02M475","STUYVESANT HIGH SCHOOL",832,679,735,682,2096,1510,2819,2648,1.86688741721854,93.934019155729,31,30.3,3297,0,0.4,0,72.1,1.2,2.4,23.7,59.3,40.7,787,98.3,0.4,"Manhattan",40.7177464150004,-74.0140490429997,"M475","Stuyvesant High School","aca_t_11",29,"teacher","acad. expectations"
"3403","02M489","HIGH SCHOOL OF ECONOMICS AND FINANCE",167,443,489,442,1374,101,176,78,1.74257425742574,44.3181818181818,27,60.8,809,6.3,11.9,12,24.8,22.5,43.5,8.8,54.5,45.5,177,76.8,7.3,"Manhattan",40.7092196250004,-74.0120259149996,"M489","High School of Economics and Finance","aca_t_11",44,"teacher","acad. expectations"
"3404","02M500","UNITY CENTER FOR URBAN TECHNOLOGIES",25,370,349,351,1070,2.5,NA,NA,NA,NA,25,83.5,237,15.6,32.9,14,3.8,35,55.3,2.5,62.4,37.6,53,73.6,11.3,"Manhattan",40.7461063750005,-73.9810096669996,"M500","Unity Center for Urban Technologies","aca_t_11",31,"teacher","acad. expectations"
"3405","02M519","TALENT UNLIMITED HIGH SCHOOL",81,469,472,475,1416,30,34,21,1.13333333333333,61.7647058823529,26,45.5,491,0.2,3.5,0,4.5,36,39.3,19.8,21.4,78.6,136,92.6,0,"Manhattan",40.7654454020005,-73.9602137859997,"M519","Talent Unlimited High School","aca_t_11",21,"teacher","acad. expectations"
"3406","02M520","MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS",264,407,440,393,1240,118,157,76,1.33050847457627,48.4076433121019,27,72.7,2073,10.2,14.1,108,10.5,39.9,46.6,2.3,49.1,50.9,637,56.4,11.6,"Manhattan",40.7106794710004,-74.0008070209997,"M520","Murry Bergtraum High School for Business Careers","aca_t_11",21,"teacher","acad. expectations"
"3407","02M529","JACQUELINE KENNEDY ONASSIS HIGH SCHOOL",131,414,425,400,1239,80,118,29,1.475,24.5762711864407,26,73,724,9.8,13.7,30,5.1,22.7,69.9,1.8,40.6,59.4,148,64.9,10.1,"Manhattan",40.7577573860004,-73.9831877929997,"M529","Jacqueline Kennedy Onassis High School","aca_t_11",22,"teacher","acad. expectations"
"3408","02M531","REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS",42,429,404,420,1253,2.5,NA,NA,NA,NA,24,65.3,217,0.5,5.1,0,1.4,47.9,42.4,7.4,21.2,78.8,49,85.7,8.2,"Manhattan",40.755942582,-73.9845677019997,"M531","Repertory Company High School for Theatre Arts","aca_t_11",19,"teacher","acad. expectations"
